locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
1948,"Compton","no2",0.0053,"2022-12-30T12:00:00+00:00","2022-12-30T04:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.025,"2022-12-30T12:00:00+00:00","2022-12-30T04:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0048,"2022-12-30T11:00:00+00:00","2022-12-30T03:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",6.4,"2022-12-30T11:00:00+00:00","2022-12-30T03:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.1,"2022-12-30T11:00:00+00:00","2022-12-30T03:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.026,"2022-12-30T11:00:00+00:00","2022-12-30T03:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.029,"2022-12-30T10:00:00+00:00","2022-12-30T02:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.1,"2022-12-30T10:00:00+00:00","2022-12-30T02:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0043,"2022-12-30T10:00:00+00:00","2022-12-30T02:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",6.9,"2022-12-30T10:00:00+00:00","2022-12-30T02:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0054,"2022-12-30T09:00:00+00:00","2022-12-30T01:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",7.8,"2022-12-30T09:00:00+00:00","2022-12-30T01:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.03,"2022-12-30T09:00:00+00:00","2022-12-30T01:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.1,"2022-12-30T09:00:00+00:00","2022-12-30T01:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.1,"2022-12-30T08:00:00+00:00","2022-12-30T00:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",9.5,"2022-12-30T08:00:00+00:00","2022-12-30T00:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0063,"2022-12-30T08:00:00+00:00","2022-12-30T00:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.03,"2022-12-30T08:00:00+00:00","2022-12-30T00:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
